MPs,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_ component_percentile_90th,nilre_filter_Red_component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
PSf,0,0,0,0,57.1903,133.5226,0,0
PVC,97.134,75.025,112.11,0,0,0,0,0
PAPER,0,0,0,146.6455,128.8413,80.7012,0,0
PBS,132.4351,171.7447,227.1798,35.2095,28.5235,17.9622,0,0
PE,3.9215,3.3014,30.0817,0,0,0,180.7813,27.8529
PETmono,4.3565,3.2853,0,1.2695,46.7118,74.4258,0,0
OM,0,0,2.084,0,6.6291,10.3275,0,0
PETp,0,0,240.6207,0,0,0,0,0
PA,111.4251,86.021,122.7815,0,40.6191,63.787,0,0
PLA,100.5449,77.6506,173.8783,0,30.8288,49.022,0,0
PA6,4.5561,3.7639,5.0377,0,0,0,0,0
PP,0,0,0,0,0,0,156.5138,24.0786
PS,256.328,202.63,242.78145,0,0,0,63.3289,9.5911
PSf,0,0,0,0,85.8152,136.9862,0,0
PVC,85.368,65.975,119.498,0,0,0,0,0
PAPER,0,0,0,148.8105,172.0817,107.7138,0,0
PBS,191.394,147.442,253.833,0.436,27.881,44.301,0,0
PE,0,0,45.7486,0,0,0,207.5187,31.9594
PETmono,3.9608,3.3039,0,0,65.0669,103.8101,0,0
PETp,0,0,199.4638,0,0,0,0,0
OM,0,0,2.3034,0,30.3919,48.2156,0,0
PLA,156.8288,120.9522,37.967,0,34.1556,54.3593,0,0
PA,133.5525,103.0418,172.2236,0,40.0564,59.5225,0,0
PP,0,0,0,0,0,0,161.8067,24.9036
PA6,3.7816,3.1711,4.5634,0,0,0,0,0
PS,226.9,174.979,241.67775,0,0,0,72.8625,11.0304
PSf,0,0,0,0,79.2129,126.4338,0,0
PVC,83.16,64.279,82.041,0,0,0,0,0
