MPs,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_ component_percentile_90th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
PS,249.6064,0,0,0,0,43.08718333,0.6192
PSf,0,0,0,80.9201,129.1616,0,0
PVC,3.228942,0,0,0,0,0,0
OM,2.4436,0,0,7.081933333,19.2174,0,0
PETmono,0,0,0,68.0652,108.6042,0,0
PA,122.7815,0,0,40.6191,63.787,0,0
PETp,236.0857,0,0,0,0,0,0
PA6,4.7844,0,0,0,0,0,0
PLA,105.1085,0,0,33.6577,53.5437,0,0
PP,30.831,0,0,0,0,195.1903,30.0704
PS,253.3179,0,0,0,0,79.3621,2.0528
PSf,0,0,0,77.16414,130.94827,0,0
PSf,0,0,0,57.1903,133.5226,0,0
PVC,3.56847,0,0,0,0,0,0
OM,2.5836,0,0,5.208433333,21.5592,0,0
PA,172.2236,0,0,40.0564,59.5225,0,0
PETmono,0,0,0,46.7118,74.4258,0,0
PA6,6.1004,0,0,0,0,0,0
PETp,227.1792,0,0,0,0,0,0
PLA,199.4147,0,0,26.6667,42.3717,0,0
PP,0,0,5.9145,0,0,165.7481,25.4977
PS,251.4814,0,0,0,0,32.31,4.7394
PSf,0,0,0,76.86204,130.46546,0,0
PSf,0,0,0,85.8152,136.9862,0,0
PVC,3.6857,0,0,0,0,0,0
OM,2.7236,0,0,5.334933333,17.5899,0,0
PA,160.7825,0,0,37.3927,67.9525,0,0
PA6,5.0377,0,0,0,0,0,0
PETmono,0,0,0,65.0669,103.8101,0,0
PETp,252.0984,0,0,0,0,0,0
PLA,195.9282,0,0,27.6559,43.9515,0,0
PP,34.3112,0,0,0,0,190.2038,29.2974
PS,249.7605,0,0,0,0,46.5848,6.9462
PSf,0,0,0,76.55994,129.98265,0,0
PSf,0,0,0,79.2129,126.4338,0,0
PVC,3.987,0,0,0,0,0,0
OM,2.8636,0,0,5.461433333,24.4936,0,0
PA,95.4578,0,0,42.6547,64.0484,0,0
PA6,4.5634,0,0,0,0,0,0
PETp,248.31,0,0,0,0,0,0
PLA,118.9616,0,0,26.0984,41.4507,0,0
PP,0,0,7.1856,0,0,168.8072,25.9727
PS,253.9054,0,0,0,0,77.4197,1.0563
PVC,3.124353,0,0,0,0,0,0
OM,2.1937,0,0,6.6291,10.3275,0,0
PA,95.397,0,0,40.2196,71.3807,0,0
