MPs,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_ component_percentile_90th,nilre_filter_Red_component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_ Blue_ component_percentile_90th
PETp,0,0,225.4058,0,0,0,0,0
PLA,162.7766,125.5292,33.7061,0,39.56,62.9988,0,0
PP,0,0,0,0,0,0,93.0652,14.2059
PS,243.863,188.125,253.9682,0,0,0,31.9994,4.671
OM,0,0,2.3034,0,30.3919,48.2156,0,0
PVC,28.728,22.404,3.2831,0,0,0,0,0
PETp,0,0,185.4127,0,0,0,0,0
PLA,100.5449,77.6506,173.8783,0,30.8288,49.022,0,0
PP,0,0,0,0,0,0,160.6859,24.722
PS,248.282,191.548,253.3109,0,0,0,44.0807,6.565
PVC,27.951,21.8,39.7763,0,0,0,0,0
PETp,0,0,206.3045,0,0,0,0,0
PLA,156.8288,120.9522,37.967,0,34.1556,54.3593,0,0
PP,0,0,0,0,0,0,123.2759,18.9202
PS,251.848,194.318,248.9563,0,0,0,9.5042,1.1675
PVC,27.174,21.196,20.6224,0,0,0,0,0
PETp,0,0,193.4797,0,0,0,0,0
PP,0,0,0,0,0,0,148.7245,22.8574
PS,238.004,182.608,249.40365,0,0,0,36.4506,5.3604273
PETp,0,0,240.6207,0,0,0,0,0
PP,0,0,0,0,0,0,192.4764,29.676
PVC,62.769,48.574,26.365,0,0,0,0,0
PS,241.058,185.945,248.29995,0,0,0,39.9027,5.9085
PETp,0,0,199.4638,0,0,0,0,0
PP,0,0,0,0,0,0,123.4638,18.9557
PS,244.112,189.282,247.19625,0,0,0,7.1628,0.7957
PP,0,0,0,0,0,0,225.4935,34.747
PVC,79.823,90.293,87.257,0,0,0,0,0
PS,242.927,187.361,246.09255,0,0,0,4.4136,0.3798
PP,0,0,0,0,0,0,139.6328,21.4461
PS,241.742,195.956,244.98885,0,0,0,64.9114,9.8276
PP,0,0,0,0,0,0,224.6955,34.6504
PS,253.274,199.293,243.88515,0,0,0,60.775,9.16380197
PVC,74.701,85.9999,118.571,0,0,0,0,0
PP,0,0,0,0,0,0,207.7362,32.0169
PS,256.328,202.63,242.78145,0,0,0,63.3289,9.5911
PP,0,0,0,0,0,0,192.6152,29.7015
PS,226.9,174.979,241.67775,0,0,0,72.8625,11.0304
PP,0,0,0,0,0,0,156.5138,24.0786
PVC,99.879,77.14,86.951,0,0,0,0,0
PP,0,0,0,0,0,0,161.8067,24.9036
PVC,107.734,83.184,92.493,0,0,0,0,0
PVC,97.134,75.025,112.11,0,0,0,0,0
PVC,85.368,65.975,119.498,0,0,0,0,0
PVC,83.16,64.279,82.041,0,0,0,0,0
