 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PA_RhodB,72667272,B,0,0,0,0,0,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,0,0,0,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
6,PA_RhodB,74938432,B,0,0,0,0,0,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,0,0,0,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
2,PA_RhodB,72667272,G,130.146,32.703,196,65,196,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,9457372160,100,114434200,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
5,PA_RhodB,74938432,G,105.038,22.854,116,63,196,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,7871392256,100,95243848,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
1,PA_RhodB,72667272,R,168.779,42.489,254,84,254,13856.477,16856.115,173929.875,0,0,26027.273,32154.545,0.03,35015.805,12264700928,100,148402880,434,143,128.867,25951.488,1.244,0.804,0.105,0,255
4,PA_RhodB,74938432,R,136.15,29.706,149,81,254,16832.178,16004.176,249837.344,0,0,34154.547,31890.908,0.015,35018.809,10202838016,100,123454336,2,2447,20.42,28379.027,1.121,0.892,0.103,0,255
