 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
27,psf_DAPI,45995536,B,103.581,59.589,254,36,254,8972.512,6231.812,617833.125,0,0,16336.363,14500,0.002,21117.949,4764274176,100,57647716,12,0,140.134,14500,1.083,0.924,0.216,0,255
30,psf_DAPI,93669176,B,139.61,64.999,254,53,254,8554.92,6068.31,956323.438,0,0,16527.273,14390.909,0.001,21561.713,13077142528,100,158233424,4,1528,40.109,14390.909,1.492,0.67,0.404,0,255
26,psf_DAPI,45995536,G,64.932,37.245,159,23,159,8972.512,6231.812,617833.125,0,0,16336.363,14500,0.002,21117.949,2986560512,100,36137384,12,0,140.134,14500,1.083,0.924,0.216,0,255
29,psf_DAPI,93669176,G,87.449,40.638,159,33,159,8554.92,6068.31,956323.438,0,0,16527.273,14390.909,0.001,21561.713,8191305728,100,99114800,4,1528,40.109,14390.909,1.492,0.67,0.404,0,255
25,psf_DAPI,45995536,R,0,0,0,0,0,8972.512,6231.812,617833.125,0,0,16336.363,14500,0.002,21117.949,0,0,0,12,0,140.134,14500,1.083,0.924,0.216,0,255
28,psf_DAPI,93669176,R,0,0,0,0,0,8554.92,6068.31,956323.438,0,0,16527.273,14390.909,0.001,21561.713,0,0,0,4,1528,40.109,14390.909,1.492,0.67,0.404,0,255
