 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
21,PETmono_DAPI,28613802,B,54.5,42.955,14,14,173,9087.392,7474.726,199045.688,0,0,16527.273,14545.454,0.009,19657.121,1559461632,100,18869486,0,1213,34.124,13725.319,1.325,0.755,0.143,0,255
24,PETmono_DAPI,28088842,B,33.59,35.313,11,11,159,8016.464,6975.751,402265.812,0,0,16481.818,14545.454,0.002,21230.846,943500096,100,11416351,0,105,140.229,14545.454,1.658,0.603,0.131,0,255
20,PETmono_DAPI,28613802,G,34.265,26.833,10,9,108,9087.392,7474.726,199045.688,0,0,16527.273,14545.454,0.009,19657.121,980465280,100,11863630,0,1213,34.124,13725.319,1.325,0.755,0.143,0,255
23,PETmono_DAPI,28088842,G,21.197,22.062,8,7,100,8016.464,6975.751,402265.812,0,0,16481.818,14545.454,0.002,21230.846,595399744,100,7204337,0,105,140.229,14545.454,1.658,0.603,0.131,0,255
19,PETmono_DAPI,28613802,R,0,0,0,0,0,9087.392,7474.726,199045.688,0,0,16527.273,14545.454,0.009,19657.121,0,0,0,0,1213,34.124,13725.319,1.325,0.755,0.143,0,255
22,PETmono_DAPI,28088842,R,0,0,0,0,0,8016.464,6975.751,402265.812,0,0,16481.818,14545.454,0.002,21230.846,0,0,0,0,105,140.229,14545.454,1.658,0.603,0.131,0,255
