 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
45,PLA_DAPI,42564296,B,51.747,11.647,62,16,139,16538.781,12251.17,53444.031,0,0,24118.182,18890.908,0.187,29194.736,2202559232,100,26650968,4,1948,35.942,18772.57,1.231,0.812,0.127,0,255
48,PLA_DAPI,26848926,B,41.494,8.255,48,14,126,3702.237,5917.64,34493.555,0,0,21918.182,18254.545,0.284,27119.391,1114068480,100,13480229,70,155,141.697,18218.943,3.115,0.321,0.076,0,255
44,PLA_DAPI,42564296,G,32.529,7.286,38,10,87,16538.781,12251.17,53444.031,0,0,24118.182,18890.908,0.187,29194.736,1384590848,100,16753549,4,1948,35.942,18772.57,1.231,0.812,0.127,0,255
47,PLA_DAPI,26848926,G,26.122,5.162,30,9,79,3702.237,5917.64,34493.555,0,0,21918.182,18254.545,0.284,27119.391,701341248,100,8486229,70,155,141.697,18218.943,3.115,0.321,0.076,0,255
43,PLA_DAPI,42564296,R,0,0,0,0,0,16538.781,12251.17,53444.031,0,0,24118.182,18890.908,0.187,29194.736,0,0,0,4,1948,35.942,18772.57,1.231,0.812,0.127,0,255
46,PLA_DAPI,26848926,R,0,0,0,0,0,3702.237,5917.64,34493.555,0,0,21918.182,18254.545,0.284,27119.391,0,0,0,70,155,141.697,18218.943,3.115,0.321,0.076,0,255
