 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
87,pvc_nilre,176047104,B,0,0,0,0,0,13856.12,9669.553,2255138.5,0,0,24636.363,21690.908,0.000435,32788.453,0,0,0,0,0,138.709,21690.908,1.642,0.609,0.373,0,255
90,pvc_nilre,197355536,B,0,0,0,0,0,11469.812,7700.633,2156062.75,0,0,22063.637,21636.363,0.000534,30227.9,0,0,0,4,2380,45.707,21636.363,1.407,0.711,0.446,0,255
86,pvc_nilre,176047104,G,0,0,0,0,0,13856.12,9669.553,2255138.5,0,0,24636.363,21690.908,0.000435,32788.453,0,0,0,0,0,138.709,21690.908,1.642,0.609,0.373,0,255
89,pvc_nilre,197355536,G,0,0,0,0,0,11469.812,7700.633,2156062.75,0,0,22063.637,21636.363,0.000534,30227.9,0,0,0,4,2380,45.707,21636.363,1.407,0.711,0.446,0,255
85,pvc_nilre,176047104,R,18.502,29.389,8,8,254,13856.12,9669.553,2255138.5,0,0,24636.363,21690.908,0.000435,32788.453,3257210880,100,39412252,0,0,138.709,21690.908,1.642,0.609,0.373,0,255
88,pvc_nilre,197355536,R,20.858,14.127,11,11,255,11469.812,7700.633,2156062.75,0,0,22063.637,21636.363,0.000534,30227.9,4116479232,100,49809400,4,2380,45.707,21636.363,1.407,0.711,0.446,0,255
