 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
111,ps_fitc,64218512,B,0,0,0,0,0,12772.081,8832.19,3805886,0,0,16500,14536.363,5.57E-05,21989.904,0,0,0,0,1599,41.38,14536.363,2.133,0.469,0.275,0,255
114,ps_fitc,66202728,B,0.59,1.681,0,0,14,14833.336,12743.58,10421042,0,0,24790.908,21636.363,7.66E-06,32721.012,39083388,12.935,472909,25,2379,41.373,21636.363,1.386,0.721,0.124,0,255
110,ps_fitc,64218512,G,0.912,0.283,1,0,1,12772.081,8832.19,3805886,0,0,16500,14536.363,5.57E-05,21989.904,58595704,91.244,709008,0,1599,41.38,14536.363,2.133,0.469,0.275,0,255
113,ps_fitc,66202728,G,5.802,10.748,2,2,91,14833.336,12743.58,10421042,0,0,24790.908,21636.363,7.66E-06,32721.012,384090496,100,4647495,25,2379,41.373,21636.363,1.386,0.721,0.124,0,255
109,ps_fitc,64218512,R,0,0,0,0,0,12772.081,8832.19,3805886,0,0,16500,14536.363,5.57E-05,21989.904,0,0,0,0,1599,41.38,14536.363,2.133,0.469,0.275,0,255
112,ps_fitc,66202728,R,0,0,0,0,0,14833.336,12743.58,10421042,0,0,24790.908,21636.363,7.66E-06,32721.012,0,0,0,25,2379,41.373,21636.363,1.386,0.721,0.124,0,255
