 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
105,pe_fitc,180249920,B,0.618,3.249,0,0,39,17685.398,8038.52,14012450,0,0,24681.818,21609.092,1.15E-05,32717.436,111339424,8.175,1347207,3,3,138.875,21609.092,1.318,0.759,0.341,0,255
108,pe_fitc,5208512.5,B,32.159,7.177,39,20,39,7516.78,2608.561,84738.391,0,0,13390.909,11309.091,0.009,17046.365,167499088,100,2026739,0,1217,39.829,10439.069,1.967,0.508,0.042,0,255
104,pe_fitc,180249920,G,6.089,20.791,2,2,254,17685.398,8038.52,14012450,0,0,24681.818,21609.092,1.15E-05,32717.436,1097495680,100,13279697,3,3,138.875,21609.092,1.318,0.759,0.341,0,255
107,pe_fitc,5208512.5,G,208.916,46.798,254,132,254,7516.78,2608.561,84738.391,0,0,13390.909,11309.091,0.009,17046.365,1088144000,100,13166543,0,1217,39.829,10439.069,1.967,0.508,0.042,0,255
103,pe_fitc,180249920,R,0,0,0,0,0,17685.398,8038.52,14012450,0,0,24681.818,21609.092,1.15E-05,32717.436,0,0,0,3,3,138.875,21609.092,1.318,0.759,0.341,0,255
106,pe_fitc,5208512.5,R,0,0,0,0,0,7516.78,2608.561,84738.391,0,0,13390.909,11309.091,0.009,17046.365,0,0,0,0,1217,39.829,10439.069,1.967,0.508,0.042,0,255
