 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
45,PVC_nilre,196751152,B,0,0,0,0,0,11513.403,11901.971,929783.562,0,0,18545.455,21672.727,0.003,25091.057,0,0,0,489,101,124.191,18545.455,1.73,0.578,0.582,0,255
48,PVC_nilre,262882640,B,0,0,0,0,0,11025.395,11652.922,1460496,0,0,22663.637,21718.182,0.002,31351.803,0,0,0,0,5,136.269,21718.182,1.345,0.744,0.622,0,255
44,PVC_nilre,196751152,G,0,0,0,0,0,11513.403,11901.971,929783.562,0,0,18545.455,21672.727,0.003,25091.057,0,0,0,489,101,124.191,18545.455,1.73,0.578,0.582,0,255
47,PVC_nilre,262882640,G,0,0,0,0,0,11025.395,11652.922,1460496,0,0,22663.637,21718.182,0.002,31351.803,0,0,0,0,5,136.269,21718.182,1.345,0.744,0.622,0,255
43,PVC_nilre,196751152,R,46.587,27.551,23,20,203,11513.403,11901.971,929783.562,0,0,18545.455,21672.727,0.003,25091.057,9166018560,100,110908824,489,101,124.191,18545.455,1.73,0.578,0.582,0,255
46,PVC_nilre,262882640,R,36.1,26.686,17,17,254,11025.395,11652.922,1460496,0,0,22663.637,21718.182,0.002,31351.803,9489955840,100,114828464,0,5,136.269,21718.182,1.345,0.744,0.622,0,255
