 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
39,PA_RhodB,17294462,B,0,0,0,0,0,6457.756,2729.165,35681.141,0,0,12800,11345.454,0.171,15569.1,0,0,0,39,219,143.07,9192.028,2.26,0.442,0.203,0,255
42,PA_RhodB,20034794,B,0,0,0,0,0,9785.066,4113.195,59595.773,0,0,21454.545,11145.454,0.071,22976.25,0,0,0,0,1070,23.258,7875.516,3.62,0.276,0.166,0,255
38,PA_RhodB,17294462,G,100.701,32.501,113,29,184,6457.756,2729.165,35681.141,0,0,12800,11345.454,0.171,15569.1,1741562496,100,21072906,39,219,143.07,9192.028,2.26,0.442,0.203,0,255
41,PA_RhodB,20034794,G,99.087,18.611,96,65,153,9785.066,4113.195,59595.773,0,0,21454.545,11145.454,0.071,22976.25,1985194496,100,24020852,0,1070,23.258,7875.516,3.62,0.276,0.166,0,255
37,PA_RhodB,17294462,R,130.509,42.251,147,37,239,6457.756,2729.165,35681.141,0,0,12800,11345.454,0.171,15569.1,2257082368,100,27310696,39,219,143.07,9192.028,2.26,0.442,0.203,0,255
40,PA_RhodB,20034794,R,128.411,24.191,124,84,199,9785.066,4113.195,59595.773,0,0,21454.545,11145.454,0.071,22976.25,2572689152,100,31129538,0,1070,23.258,7875.516,3.62,0.276,0.166,0,255
