 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
51,PLA_nilre,38064132,B,0,0,0,0,0,8921.14,5788.327,41516.684,0,0,20900,11218.182,0.278,21510.781,0,0,0,5,580,14.189,10077.215,2.431,0.411,0.251,0,255
54,PLA_nilre,37200828,B,0,0,0,0,0,8177.477,6924.607,43447.141,0,0,13418.182,14109.091,0.248,15235.347,0,0,0,0,280,133.283,13222.286,1.13,0.885,0.29,0,255
50,PLA_nilre,38064132,G,0,0,0,0,0,8921.14,5788.327,41516.684,0,0,20900,11218.182,0.278,21510.781,0,0,0,5,580,14.189,10077.215,2.431,0.411,0.251,0,255
53,PLA_nilre,37200828,G,0,0,0,0,0,8177.477,6924.607,43447.141,0,0,13418.182,14109.091,0.248,15235.347,0,0,0,0,280,133.283,13222.286,1.13,0.885,0.29,0,255
49,PLA_nilre,38064132,R,105.781,27.082,112,38,254,8921.14,5788.327,41516.684,0,0,20900,11218.182,0.278,21510.781,4026453760,100,48720092,5,580,14.189,10077.215,2.431,0.411,0.251,0,255
52,PLA_nilre,37200828,R,99.056,30.787,64,32,254,8177.477,6924.607,43447.141,0,0,13418.182,14109.091,0.248,15235.347,3684964096,100,44588064,0,280,133.283,13222.286,1.13,0.885,0.29,0,255
