 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
81,pe100_fitc,24464794,B,28.888,7.508,39,6,39,5574.173,6317.093,33734.07,0,0,19790.908,13390.909,0.27,23895.533,706737664,100,8551526,0,1473,34.083,8755.202,3.767,0.265,0.19,0,255
84,pe100_fitc,34408760,B,26.04,8.434,39,14,39,8330.211,6498.729,100586.188,0,0,16918.182,12972.728,0.043,19507.627,895992064,100,10841504,45,100,144.732,4984.255,6.222,0.161,0.388,0,255
80,pe100_fitc,24464794,G,187.518,48.724,254,41,254,5574.173,6317.093,33734.07,0,0,19790.908,13390.909,0.27,23895.533,4587585536,100,55509788,0,1473,34.083,8755.202,3.767,0.265,0.19,0,255
83,pe100_fitc,34408760,G,169.178,54.608,254,93,254,8330.211,6498.729,100586.188,0,0,16918.182,12972.728,0.043,19507.627,5821192704,100,70436432,45,100,144.732,4984.255,6.222,0.161,0.388,0,255
79,pe100_fitc,24464794,R,0,0,0,0,0,5574.173,6317.093,33734.07,0,0,19790.908,13390.909,0.27,23895.533,0,0,0,0,1473,34.083,8755.202,3.767,0.265,0.19,0,255
82,pe100_fitc,34408760,R,0,0,0,0,0,8330.211,6498.729,100586.188,0,0,16918.182,12972.728,0.043,19507.627,0,0,0,45,100,144.732,4984.255,6.222,0.161,0.388,0,255
