 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
33,PE_FITC,15882810,B,34.565,6.924,39,8,39,9768.227,9677.405,41610.555,0,0,16090.909,14463.637,0.115,18371.488,548986112,100,6642732,0,1591,28.911,12868.082,1.775,0.564,0.104,0,255
36,PE_FITC,8430083,B,37.152,4.911,39,13,39,5116.532,6172.436,28283.713,0,0,13527.272,10545.454,0.132,13817.661,313192576,100,3789630,27,0,160.754,9682.748,1.505,0.664,0.09,0,255
32,PE_FITC,15882810,G,224.485,45.052,254,54,254,9768.227,9677.405,41610.555,0,0,16090.909,14463.637,0.115,18371.488,3565453312,100,43141984,0,1591,28.911,12868.082,1.775,0.564,0.104,0,255
35,PE_FITC,8430083,G,241.634,32.094,254,85,254,5116.532,6172.436,28283.713,0,0,13527.272,10545.454,0.132,13817.661,2036994688,100,24647636,27,0,160.754,9682.748,1.505,0.664,0.09,0,255
31,PE_FITC,15882810,R,0,0,0,0,0,9768.227,9677.405,41610.555,0,0,16090.909,14463.637,0.115,18371.488,0,0,0,0,1591,28.911,12868.082,1.775,0.564,0.104,0,255
34,PE_FITC,8430083,R,0,0,0,0,0,5116.532,6172.436,28283.713,0,0,13527.272,10545.454,0.132,13817.661,0,0,0,27,0,160.754,9682.748,1.505,0.664,0.09,0,255
