 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
15,PA_nilRe,58120908,B,0,0,0,0,0,18279.143,15731.979,219001.812,0,0,32636.363,33436.363,0.015,33618.203,0,0,0,851,823,129.536,31218.828,1.047,0.955,0.081,0,255
18,PA_nilRe,80370328,B,0,0,0,0,0,25253.742,13422.859,139465.25,0,0,41163.637,31636.363,0.052,43137.117,0,0,0,0,2054,17.438,29769.139,1.163,0.86,0.077,0,255
14,PA_nilRe,58120908,G,0,0,0,0,0,18279.143,15731.979,219001.812,0,0,32636.363,33436.363,0.015,33618.203,0,0,0,851,823,129.536,31218.828,1.047,0.955,0.081,0,255
17,PA_nilRe,80370328,G,0,0,0,0,0,25253.742,13422.859,139465.25,0,0,41163.637,31636.363,0.052,43137.117,0,0,0,0,2054,17.438,29769.139,1.163,0.86,0.077,0,255
13,PA_nilRe,58120908,R,173.04,34.247,254,116,254,18279.143,15731.979,219001.812,0,0,32636.363,33436.363,0.015,33618.203,10057243648,100,121692648,851,823,129.536,31218.828,1.047,0.955,0.081,0,255
16,PA_nilRe,80370328,R,93.178,33.999,82,32,254,25253.742,13422.859,139465.25,0,0,41163.637,31636.363,0.052,43137.117,7488748032,100,90613856,0,2054,17.438,29769.139,1.163,0.86,0.077,0,255
