 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
9,PE100_nilre,120064880,B,0,0,0,0,0,17345.033,20151.066,972575.75,0,0,41300,39636.363,0.002,49890.594,0,0,0,22,1075,145.467,35829.289,1.1,0.909,0.102,0,255
12,PE100_nilre,148124208,B,0,0,0,0,0,19364.908,19008.49,245403.781,0,0,40754.547,38745.453,0.031,53090.871,0,0,0,90,414,138.784,35808.59,1.015,0.985,0.125,0,255
8,PE100_nilre,120064880,G,0,0,0,0,0,17345.033,20151.066,972575.75,0,0,41300,39636.363,0.002,49890.594,0,0,0,22,1075,145.467,35829.289,1.1,0.909,0.102,0,255
11,PE100_nilre,148124208,G,0,0,0,0,0,19364.908,19008.49,245403.781,0,0,40754.547,38745.453,0.031,53090.871,0,0,0,90,414,138.784,35808.59,1.015,0.985,0.125,0,255
7,PE100_nilre,120064880,R,65.883,20.796,41,41,255,17345.033,20151.066,972575.75,0,0,41300,39636.363,0.002,49890.594,7910201856,100,95713448,22,1075,145.467,35829.289,1.1,0.909,0.102,0,255
10,PE100_nilre,148124208,R,57.133,27.864,35,20,255,19364.908,19008.49,245403.781,0,0,40754.547,38745.453,0.031,53090.871,8462837248,100,102400328,90,414,138.784,35808.59,1.015,0.985,0.125,0,255
