 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
45,PA_RhodB,12099835,B,0,0,0,0,0,4916.098,7110.385,50053.898,0,0,13190.909,15545.454,0.061,19974.98,0,0,0,4,1708,48.949,13114.199,1.929,0.519,0.07,0,255
48,PA_RhodB,40640496,B,0,0,0,0,0,9880.498,8319.32,67736.742,0,0,21918.182,17536.363,0.111,25646.986,0,0,0,0,273,144.056,17536.363,1.168,0.856,0.12,0,255
44,PA_RhodB,12099835,G,106.362,22.148,116,70,170,4916.098,7110.385,50053.898,0,0,13190.909,15545.454,0.061,19974.98,1286957056,100,15572181,4,1708,48.949,13114.199,1.929,0.519,0.07,0,255
47,PA_RhodB,40640496,G,92.874,28.276,103,21,196,9880.498,8319.32,67736.742,0,0,21918.182,17536.363,0.111,25646.986,3774436608,100,45670680,0,273,144.056,17536.363,1.168,0.856,0.12,0,255
43,PA_RhodB,12099835,R,137.875,28.783,149,91,220,4916.098,7110.385,50053.898,0,0,13190.909,15545.454,0.061,19974.98,1668269056,100,20186056,4,1708,48.949,13114.199,1.929,0.519,0.07,0,255
46,PA_RhodB,40640496,R,120.336,36.756,133,27,254,9880.498,8319.32,67736.742,0,0,21918.182,17536.363,0.111,25646.986,4890532864,100,59175448,0,273,144.056,17536.363,1.168,0.856,0.12,0,255
