 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
117,ps_fitc,87143552,B,0.452,1.325,0,0,15,11366.577,12645.174,13263582,0,0,24818.182,21709.092,6.23E-06,32925.285,39386200,12.453,476573,0,8,138.918,21709.092,1.109,0.901,0.163,0,255
120,ps_fitc,19720000,B,6.033,1.98,7,1,15,8693.055,8579.658,37226.242,0,0,17390.908,16700,0.179,22950.514,118975040,100,1439598,4,1668,40.872,16144.613,1.094,0.914,0.078,0,255
116,ps_fitc,87143552,G,4.91,8.473,2,2,96,11366.577,12645.174,13263582,0,0,24818.182,21709.092,6.23E-06,32925.285,427848352,100,5176965,0,8,138.918,21709.092,1.109,0.901,0.163,0,255
119,ps_fitc,19720000,G,40.753,12.57,48,10,101,8693.055,8579.658,37226.242,0,0,17390.908,16700,0.179,22950.514,803639936,100,9724043,4,1668,40.872,16144.613,1.094,0.914,0.078,0,255
115,ps_fitc,87143552,R,0,0,0,0,0,11366.577,12645.174,13263582,0,0,24818.182,21709.092,6.23E-06,32925.285,0,0,0,0,8,138.918,21709.092,1.109,0.901,0.163,0,255
118,ps_fitc,19720000,R,0,0,0,0,0,8693.055,8579.658,37226.242,0,0,17390.908,16700,0.179,22950.514,0,0,0,4,1668,40.872,16144.613,1.094,0.914,0.078,0,255
