 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
63,PA_RhodB,24405702,B,0,0,0,0,0,10396.317,8970.556,68480.445,0,0,20236.363,19418.182,0.065,26191.957,0,0,0,0,0,136.561,17854.174,1.602,0.624,0.094,0,255
66,PA_RhodB,15955868,B,0,0,0,0,0,5085.077,10371.93,31997.596,0,0,11918.182,14563.637,0.196,16009.886,0,0,0,1,1177,41.939,10176.968,1.089,0.918,0.158,0,255
62,PA_RhodB,24405702,G,82.781,22.239,100,43,156,10396.317,8970.556,68480.445,0,0,20236.363,19418.182,0.065,26191.957,2020316672,100,24445832,0,0,136.561,17854.174,1.602,0.624,0.094,0,255
65,PA_RhodB,15955868,G,86.381,16.54,90,46,175,5085.077,10371.93,31997.596,0,0,11918.182,14563.637,0.196,16009.886,1378285824,100,16677259,1,1177,41.939,10176.968,1.089,0.918,0.158,0,255
61,PA_RhodB,24405702,R,107.214,28.908,131,55,203,10396.317,8970.556,68480.445,0,0,20236.363,19418.182,0.065,26191.957,2616644096,100,31661396,0,0,136.561,17854.174,1.602,0.624,0.094,0,255
64,PA_RhodB,15955868,R,111.893,21.497,118,59,227,5085.077,10371.93,31997.596,0,0,11918.182,14563.637,0.196,16009.886,1785344512,100,21602668,1,1177,41.939,10176.968,1.089,0.918,0.158,0,255
