 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
69,om_dapi,89970496,B,12.495,4.275,9,9,254,18269.332,13893.373,1745932.125,0,0,24663.637,21454.545,0.000371,30137.309,1124192640,100,13602731,31,2158,37.869,21445.705,1.669,0.599,0.182,0,255
72,om_dapi,19230248,B,18.156,6.236,11,11,74,21598.975,12284.442,210518.422,0,0,24654.545,21590.908,0.005,31123.641,349149600,100,4224710,9,2354,40.688,21587.896,1.169,0.855,0.038,0,255
68,om_dapi,89970496,G,7.976,2.69,6,6,159,18269.332,13893.373,1745932.125,0,0,24663.637,21454.545,0.000371,30137.309,717636352,100,8683400,31,2158,37.869,21445.705,1.669,0.599,0.182,0,255
71,om_dapi,19230248,G,11.55,3.891,8,7,46,21598.975,12284.442,210518.422,0,0,24654.545,21590.908,0.005,31123.641,222104304,100,2687462,9,2354,40.688,21587.896,1.169,0.855,0.038,0,255
67,om_dapi,89970496,R,0,0,0,0,0,18269.332,13893.373,1745932.125,0,0,24663.637,21454.545,0.000371,30137.309,0,0,0,31,2158,37.869,21445.705,1.669,0.599,0.182,0,255
70,om_dapi,19230248,R,0,0,0,0,0,21598.975,12284.442,210518.422,0,0,24654.545,21590.908,0.005,31123.641,0,0,0,9,2354,40.688,21587.896,1.169,0.855,0.038,0,255
