 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
45,pa6_rhodb,21588760,B,0,0,0,0,0,9388.367,6850.407,1309844.125,0,0,16463.637,14500,0.000158,21840.332,0,0,0,10,5,138.561,14500,1.34,0.746,0.091,0,255
48,pa6_rhodb,23756612,B,0,0,0,0,0,7233.346,7373.934,1468765.75,0,0,16572.727,14500,0.000138,21942.926,0,0,0,0,1595,40.951,14500,1.326,0.754,0.099,0,255
44,pa6_rhodb,21588760,G,3.407,5.471,1,1,115,9388.367,6850.407,1309844.125,0,0,16463.637,14500,0.000158,21840.332,73562152,100,890102,10,5,138.561,14500,1.34,0.746,0.091,0,255
47,pa6_rhodb,23756612,G,3.045,4.293,1,1,86,7233.346,7373.934,1468765.75,0,0,16572.727,14500,0.000138,21942.926,72335288,100,875257,0,1595,40.951,14500,1.326,0.754,0.099,0,255
43,pa6_rhodb,21588760,R,4.077,7.086,1,1,149,9388.367,6850.407,1309844.125,0,0,16463.637,14500,0.000158,21840.332,88014792,100,1064979,10,5,138.561,14500,1.34,0.746,0.091,0,255
46,pa6_rhodb,23756612,R,3.61,5.561,1,1,111,7233.346,7373.934,1468765.75,0,0,16572.727,14500,0.000138,21942.926,85760080,100,1037697,0,1595,40.951,14500,1.326,0.754,0.099,0,255
