 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
51,pe100_nilre,45759504,B,0,0,0,0,0,9587.611,8221.317,259256.203,0,0,18472.727,18163.637,0.009,23142.178,0,0,0,48,403,141.203,16509.053,1.358,0.737,0.213,0,255
54,pe100_nilre,23016776,B,0,0,0,0,0,7649.381,9405.136,174340.594,0,0,22445.455,20236.363,0.01,27879.199,0,0,0,0,233,143.62,19371.525,1.483,0.674,0.062,0,255
50,pe100_nilre,45759504,G,0,0,0,0,0,9587.611,8221.317,259256.203,0,0,18472.727,18163.637,0.009,23142.178,0,0,0,48,403,141.203,16509.053,1.358,0.737,0.213,0,255
53,pe100_nilre,23016776,G,0,0,0,0,0,7649.381,9405.136,174340.594,0,0,22445.455,20236.363,0.01,27879.199,0,0,0,0,233,143.62,19371.525,1.483,0.674,0.062,0,255
49,pe100_nilre,45759504,R,59.554,21.785,41,38,240,9587.611,8221.317,259256.203,0,0,18472.727,18163.637,0.009,23142.178,2725176832,100,32974640,48,403,141.203,16509.053,1.358,0.737,0.213,0,255
52,pe100_nilre,23016776,R,64.667,18.207,41,41,255,7649.381,9405.136,174340.594,0,0,22445.455,20236.363,0.01,27879.199,1488421120,100,18009896,0,233,143.62,19371.525,1.483,0.674,0.062,0,255
