 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
81,PA_DAPI,18134132,B,68.24,34.845,71,18,254,15368.097,12513.037,64638.82,0,0,23636.363,21272.727,0.055,25193.867,1237469696,100,14973384,1,1378,159.688,21199.068,1.709,0.585,0.046,0,255
84,PA_DAPI,40693968,B,65.365,18.733,79,23,254,9861.514,10208.465,82443.359,0,0,21936.363,19390.908,0.075,25632.27,2659943168,100,32185312,0,477,144.032,19390.908,1.159,0.863,0.115,0,255
80,PA_DAPI,18134132,G,42.834,21.794,45,11,159,15368.097,12513.037,64638.82,0,0,23636.363,21272.727,0.055,25193.867,776751232,100,9398690,1,1378,159.688,21199.068,1.709,0.585,0.046,0,255
83,PA_DAPI,40693968,G,41.041,11.711,50,15,159,9861.514,10208.465,82443.359,0,0,21936.363,19390.908,0.075,25632.27,1670104320,100,20208262,0,477,144.032,19390.908,1.159,0.863,0.115,0,255
79,PA_DAPI,18134132,R,0,0,0,0,0,15368.097,12513.037,64638.82,0,0,23636.363,21272.727,0.055,25193.867,0,0,0,1,1378,159.688,21199.068,1.709,0.585,0.046,0,255
82,PA_DAPI,40693968,R,0,0,0,0,0,9861.514,10208.465,82443.359,0,0,21936.363,19390.908,0.075,25632.27,0,0,0,0,477,144.032,19390.908,1.159,0.863,0.115,0,255
