 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
39,pe102_fitc,52547852,B,19.609,6.677,17,2,39,10007.325,10146.108,82346.094,0,0,17890.908,20190.908,0.097,24159.477,1030412864,100,12467996,0,0,135.762,17706.986,1.138,0.879,0.172,0,255
42,pe102_fitc,33404546,B,21.826,4.645,17,0,39,8458.148,5932.821,216142.219,0,0,22527.273,18736.363,0.009,29300.672,729080576,99.755,8821875,0,0,140.249,17432.025,1.338,0.747,0.108,0,255
38,pe102_fitc,52547852,G,127.649,42.76,109,15,254,10007.325,10146.108,82346.094,0,0,17890.908,20190.908,0.097,24159.477,6707690496,100,81163056,0,0,135.762,17706.986,1.138,0.879,0.172,0,255
41,pe102_fitc,33404546,G,141.724,29.766,115,0,254,8458.148,5932.821,216142.219,0,0,22527.273,18736.363,0.009,29300.672,4734233088,99.784,57284220,0,0,140.249,17432.025,1.338,0.747,0.108,0,255
37,pe102_fitc,52547852,R,0,0,0,0,0,10007.325,10146.108,82346.094,0,0,17890.908,20190.908,0.097,24159.477,0,0,0,0,0,135.762,17706.986,1.138,0.879,0.172,0,255
40,pe102_fitc,33404546,R,0.457,9.416,0,0,255,8458.148,5932.821,216142.219,0,0,22527.273,18736.363,0.009,29300.672,15257686,0.245,184618,0,0,140.249,17432.025,1.338,0.747,0.108,0,255
