 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
57,PA_DAPI,26187190,B,57.11,21.175,16,16,191,10163.852,11061.985,147348.203,0,0,20445.455,19618.182,0.015,24471.02,1495541120,100,18096048,115,21,142.411,19415.055,1.74,0.575,0.08,0,255
60,PA_DAPI,26183636,B,58.116,22.272,54,18,254,9844.583,11814.231,81040.07,0,0,21381.818,17736.363,0.05,24167.16,1521692032,100,18412474,0,310,152.22,15805.624,2.235,0.447,0.103,0,255
56,PA_DAPI,26187190,G,35.871,13.258,11,10,120,10163.852,11061.985,147348.203,0,0,20445.455,19618.182,0.015,24471.02,939371328,100,11366393,115,21,142.411,19415.055,1.74,0.575,0.08,0,255
59,PA_DAPI,26183636,G,36.506,13.934,35,11,159,9844.583,11814.231,81040.07,0,0,21381.818,17736.363,0.05,24167.16,955849536,100,11565779,0,310,152.22,15805.624,2.235,0.447,0.103,0,255
55,PA_DAPI,26187190,R,0,0,0,0,0,10163.852,11061.985,147348.203,0,0,20445.455,19618.182,0.015,24471.02,0,0,0,115,21,142.411,19415.055,1.74,0.575,0.08,0,255
58,PA_DAPI,26183636,R,0,0,0,0,0,9844.583,11814.231,81040.07,0,0,21381.818,17736.363,0.05,24167.16,0,0,0,0,310,152.22,15805.624,2.235,0.447,0.103,0,255
