 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
63,pp1_fitc,13829917,B,19.998,11.71,39,3,39,7534.45,12812.331,79281.797,0,0,18681.818,21709.092,0.028,27182.16,276576448,100,3346575,114,3,127.157,18137.199,1.563,0.64,0.039,0,255
66,pp1_fitc,12697934,B,21.607,9.928,39,7,39,6220.079,8224.356,43162.574,0,0,12390.909,19463.637,0.086,19944.805,274366848,100,3319839,493,0,102.611,12309.014,2.399,0.417,0.073,0,255
62,pp1_fitc,13829917,G,130.361,75.321,254,23,254,7534.45,12812.331,79281.797,0,0,18681.818,21709.092,0.028,27182.16,1802875648,100,21814796,114,3,127.157,18137.199,1.563,0.64,0.039,0,255
65,pp1_fitc,12697934,G,140.663,64.039,254,44,254,6220.079,8224.356,43162.574,0,0,12390.909,19463.637,0.086,19944.805,1786128384,100,21612154,493,0,102.611,12309.014,2.399,0.417,0.073,0,255
61,pp1_fitc,13829917,R,0,0,0,0,0,7534.45,12812.331,79281.797,0,0,18681.818,21709.092,0.028,27182.16,0,0,0,114,3,127.157,18137.199,1.563,0.64,0.039,0,255
64,pp1_fitc,12697934,R,0,0,0,0,0,6220.079,8224.356,43162.574,0,0,12390.909,19463.637,0.086,19944.805,0,0,0,493,0,102.611,12309.014,2.399,0.417,0.073,0,255
