 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
51,petp_nilre,10172727,B,0,0,0,0,0,5452.229,5278.087,57380.895,0,0,11672.728,13227.272,0.039,14821.455,0,0,0,41,400,139.677,10995.902,1.425,0.702,0.114,0,255
54,petp_nilre,15414876,B,0,0,0,0,0,10287.827,8668.443,58470.566,0,0,22200,18327.273,0.057,27227.416,0,0,0,0,282,144.622,16733.957,1.918,0.521,0.049,0,255
50,petp_nilre,10172727,G,0,0,0,0,0,5452.229,5278.087,57380.895,0,0,11672.728,13227.272,0.039,14821.455,0,0,0,41,400,139.677,10995.902,1.425,0.702,0.114,0,255
53,petp_nilre,15414876,G,0,0,0,0,0,10287.827,8668.443,58470.566,0,0,22200,18327.273,0.057,27227.416,0,0,0,0,282,144.622,16733.957,1.918,0.521,0.049,0,255
49,petp_nilre,10172727,R,252.64,5.007,254,227,254,5452.229,5278.087,57380.895,0,0,11672.728,13227.272,0.039,14821.455,2570033408,100,31097404,41,400,139.677,10995.902,1.425,0.702,0.114,0,255
52,petp_nilre,15414876,R,209.34,55.179,254,50,255,10287.827,8668.443,58470.566,0,0,22200,18327.273,0.057,27227.416,3226950400,100,39046100,0,282,144.622,16733.957,1.918,0.521,0.049,0,255
