 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
45,permono_DAPI,11766612,B,75.278,45.151,22,22,167,8149.546,6774.809,83808.844,0,0,15218.182,14500,0.021,18558.463,885767872,100,10717791,53,1460,42.379,14500,1.428,0.7,0.06,0,255
48,permono_DAPI,13176529,B,74.092,42.073,22,22,160,7038.874,7166.399,88583.461,0,0,16572.727,14500,0.021,17315.035,976271808,100,11812889,0,1595,56.869,14132.334,1.404,0.712,0.077,0,255
44,permono_DAPI,11766612,G,47.246,28.208,15,14,105,8149.546,6774.809,83808.844,0,0,15218.182,14500,0.021,18558.463,555924032,100,6726681,53,1460,42.379,14500,1.428,0.7,0.06,0,255
47,permono_DAPI,13176529,G,46.506,26.286,15,14,100,7038.874,7166.399,88583.461,0,0,16572.727,14500,0.021,17315.035,612789824,100,7414757,0,1595,56.869,14132.334,1.404,0.712,0.077,0,255
43,permono_DAPI,11766612,R,0,0,0,0,0,8149.546,6774.809,83808.844,0,0,15218.182,14500,0.021,18558.463,0,0,0,53,1460,42.379,14500,1.428,0.7,0.06,0,255
46,permono_DAPI,13176529,R,0,0,0,0,0,7038.874,7166.399,88583.461,0,0,16572.727,14500,0.021,17315.035,0,0,0,0,1595,56.869,14132.334,1.404,0.712,0.077,0,255
