 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
27,OM_nilre,23279422,B,0,0,0,0,0,11759.801,7488.334,1286849.5,0,0,23554.545,21527.273,0.000177,29796.961,0,0,0,0,20,137.745,21519.678,2.188,0.457,0.051,0,255
30,OM_nilre,15881901,B,0,0,0,0,0,8264.617,8470.188,764471.938,0,0,24445.455,21318.182,0.000342,29603.543,0,0,0,0,1926,34.769,21316.127,1.052,0.951,0.034,0,255
26,OM_nilre,23279422,G,0,0,0,0,0,11759.801,7488.334,1286849.5,0,0,23554.545,21527.273,0.000177,29796.961,0,0,0,0,20,137.745,21519.678,2.188,0.457,0.051,0,255
29,OM_nilre,15881901,G,0,0,0,0,0,8264.617,8470.188,764471.938,0,0,24445.455,21318.182,0.000342,29603.543,0,0,0,0,1926,34.769,21316.127,1.052,0.951,0.034,0,255
25,OM_nilre,23279422,R,3.26,2.813,2,2,23,11759.801,7488.334,1286849.5,0,0,23554.545,21527.273,0.000177,29796.961,75889336,100,918261,0,20,137.745,21519.678,2.188,0.457,0.051,0,255
28,OM_nilre,15881901,R,4.464,14.581,2,2,255,8264.617,8470.188,764471.938,0,0,24445.455,21318.182,0.000342,29603.543,70890576,100,857776,0,1926,34.769,21316.127,1.052,0.951,0.034,0,255
