 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
33,PETmono_DAPI,3532562,B,57.018,39.35,22,0,157,7528.334,2471.681,71546.312,0,0,16181.818,13572.728,0.009,20949.447,201417936,99.317,2437157,0,1466,39.506,12093.33,1.826,0.548,0.022,0,255
36,PETmono_DAPI,570082.625,B,138.862,43.185,254,112,254,2640.976,1043.343,12519.975,0,0,8390.909,2609.091,0.046,8686.163,79162648,100,957868,0,287,14.982,2081.317,5.039,0.198,0.053,0,255
32,PETmono_DAPI,3532562,G,35.841,24.584,15,0,98,7528.334,2471.681,71546.312,0,0,16181.818,13572.728,0.009,20949.447,126610080,99.186,1531982,0,1466,39.506,12093.33,1.826,0.548,0.022,0,255
35,PETmono_DAPI,570082.625,G,86.972,27.016,73,70,159,2640.976,1043.343,12519.975,0,0,8390.909,2609.091,0.046,8686.163,49581156,100,599932,0,287,14.982,2081.317,5.039,0.198,0.053,0,255
31,PETmono_DAPI,3532562,R,5.77,30.701,0,0,255,7528.334,2471.681,71546.312,0,0,16181.818,13572.728,0.009,20949.447,20381652,3.923,246618,0,1466,39.506,12093.33,1.826,0.548,0.022,0,255
34,PETmono_DAPI,570082.625,R,0,0,0,0,0,2640.976,1043.343,12519.975,0,0,8390.909,2609.091,0.046,8686.163,0,0,0,0,287,14.982,2081.317,5.039,0.198,0.053,0,255
