 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
21,PLA_rhodb,14297769,B,0,0,0,0,0,2353.158,3505.641,14780.694,0,0,10345.454,10063.637,0.822,14413.779,0,0,0,0,1107,44.131,5234.561,1.246,0.802,0.347,0,255
24,PLA_rhodb,24251736,B,0,0,0,0,0,9460.839,5236.885,120043.68,0,0,19390.908,16118.182,0.021,24162.283,0,0,0,71,96,140.879,14158.132,2.591,0.386,0.116,0,255
20,PLA_rhodb,14297769,G,70.611,15.778,70,10,196,2353.158,3505.641,14780.694,0,0,10345.454,10063.637,0.822,14413.779,1009586112,100,12215992,0,1107,44.131,5234.561,1.246,0.802,0.347,0,255
23,PLA_rhodb,24251736,G,65.538,14.017,63,48,196,9460.839,5236.885,120043.68,0,0,19390.908,16118.182,0.021,24162.283,1589403392,100,19231780,71,96,140.879,14158.132,2.591,0.386,0.116,0,255
19,PLA_rhodb,14297769,R,91.392,20.504,92,13,254,2353.158,3505.641,14780.694,0,0,10345.454,10063.637,0.822,14413.779,1306707840,100,15811165,0,1107,44.131,5234.561,1.246,0.802,0.347,0,255
22,PLA_rhodb,24251736,R,84.79,18.223,82,62,254,9460.839,5236.885,120043.68,0,0,19390.908,16118.182,0.021,24162.283,2056306560,100,24881310,71,96,140.879,14158.132,2.591,0.386,0.116,0,255
