 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
69,pe_nilre,11522397,B,0,0,0,0,0,9634.799,5477.107,81651.93,0,0,16409.092,13763.637,0.022,20107.16,0,0,0,53,1514,37.616,13763.637,1.476,0.678,0.055,0,255
72,pe_nilre,16795206,B,0,0,0,0,0,2889.203,5394.055,609198.688,0,0,15536.363,12581.818,0.000569,19555.822,0,0,0,27,1341,38.564,12484.499,2.694,0.371,0.117,0,255
68,pe_nilre,11522397,G,0,0,0,0,0,9634.799,5477.107,81651.93,0,0,16409.092,13763.637,0.022,20107.16,0,0,0,53,1514,37.616,13763.637,1.476,0.678,0.055,0,255
71,pe_nilre,16795206,G,0,0,0,0,0,2889.203,5394.055,609198.688,0,0,15536.363,12581.818,0.000569,19555.822,0,0,0,27,1341,38.564,12484.499,2.694,0.371,0.117,0,255
67,pe_nilre,11522397,R,32.333,23.552,5,5,201,9634.799,5477.107,81651.93,0,0,16409.092,13763.637,0.022,20107.16,372548928,100,4507842,53,1514,37.616,13763.637,1.476,0.678,0.055,0,255
70,pe_nilre,16795206,R,9.82,13.765,2,2,102,2889.203,5394.055,609198.688,0,0,15536.363,12581.818,0.000569,19555.822,164926944,100,1995616,27,1341,38.564,12484.499,2.694,0.371,0.117,0,255
