 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
15,OM_NILRE,316460896,B,0,0,0,0,0,20209.469,20502.463,8980981,0,0,48381.816,42545.453,4.93E-05,56733.418,0,0,0,186,654,142.847,42445.32,1.086,0.921,0.167,0,255
18,OM_NILRE,7920413,B,0,0,0,0,0,18220.975,18272.297,712670.812,0,0,49118.184,43090.91,0.000196,54493.176,0,0,0,187,528,142.428,42879.797,1.682,0.595,0.004,0,255
14,OM_NILRE,316460896,G,0,0,0,0,0,20209.469,20502.463,8980981,0,0,48381.816,42545.453,4.93E-05,56733.418,0,0,0,186,654,142.847,42445.32,1.086,0.921,0.167,0,255
17,OM_NILRE,7920413,G,0,0,0,0,0,18220.975,18272.297,712670.812,0,0,49118.184,43090.91,0.000196,54493.176,0,0,0,187,528,142.428,42879.797,1.682,0.595,0.004,0,255
13,OM_NILRE,316460896,R,10.572,11.006,2,2,255,20209.469,20502.463,8980981,0,0,48381.816,42545.453,4.93E-05,56733.418,3345773824,100,40483864,186,654,142.847,42445.32,1.086,0.921,0.167,0,255
16,OM_NILRE,7920413,R,2.222,0.593,2,2,11,18220.975,18272.297,712670.812,0,0,49118.184,43090.91,0.000196,54493.176,17602314,100,212988,187,528,142.428,42879.797,1.682,0.595,0.004,0,255
