 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
63,pvc_nilre,141911568,B,0,0,0,0,0,9917.561,5494.113,816652.625,0,0,18718.182,17718.182,0.003,21740.08,0,0,0,117,206,142.373,17347.607,1.444,0.692,0.565,0,255
66,pvc_nilre,144070336,B,0,0,0,0,0,10320.277,5879.015,975537.125,0,0,22118.182,18518.182,0.002,28846.785,0,0,0,0,0,140.063,18518.182,1.112,0.899,0.401,0,255
62,pvc_nilre,141911568,G,0,0,0,0,0,9917.561,5494.113,816652.625,0,0,18718.182,17718.182,0.003,21740.08,0,0,0,117,206,142.373,17347.607,1.444,0.692,0.565,0,255
65,pvc_nilre,144070336,G,0,0,0,0,0,10320.277,5879.015,975537.125,0,0,22118.182,18518.182,0.002,28846.785,0,0,0,0,0,140.063,18518.182,1.112,0.899,0.401,0,255
61,pvc_nilre,141911568,R,40.076,37.872,11,11,254,9917.561,5494.113,816652.625,0,0,18718.182,17718.182,0.003,21740.08,5687229440,100,68815472,117,206,142.373,17347.607,1.444,0.692,0.565,0,255
64,pvc_nilre,144070336,R,33.458,30.865,11,11,255,10320.277,5879.015,975537.125,0,0,22118.182,18518.182,0.002,28846.785,4820260864,100,58325156,0,0,140.063,18518.182,1.112,0.899,0.401,0,255
