 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
57,pe_fitc,7899339,B,28.487,9.498,39,6,39,8877.328,4127.46,30792.777,0,0,12527.272,12709.091,0.105,15283.148,225026192,100,2722817,0,435,145.053,10607.018,1.552,0.644,0.07,0,255
60,pe_fitc,7799504,B,30.07,7.864,39,16,39,7700.521,8018.455,56617.285,0,0,16527.273,14281.818,0.031,18626.713,234531408,100,2837830,0,1559,27.465,10520.383,1.316,0.76,0.05,0,255
56,pe_fitc,7899339,G,185.063,61.501,254,38,254,8877.328,4127.46,30792.777,0,0,12527.272,12709.091,0.105,15283.148,1461872256,100,17688656,0,435,145.053,10607.018,1.552,0.644,0.07,0,255
59,pe_fitc,7799504,G,195.227,51.06,254,106,254,7700.521,8018.455,56617.285,0,0,16527.273,14281.818,0.031,18626.713,1522676096,100,18424380,0,1559,27.465,10520.383,1.316,0.76,0.05,0,255
55,pe_fitc,7899339,R,0,0,0,0,0,8877.328,4127.46,30792.777,0,0,12527.272,12709.091,0.105,15283.148,0,0,0,0,435,145.053,10607.018,1.552,0.644,0.07,0,255
58,pe_fitc,7799504,R,0,0,0,0,0,7700.521,8018.455,56617.285,0,0,16527.273,14281.818,0.031,18626.713,0,0,0,0,1559,27.465,10520.383,1.316,0.76,0.05,0,255
