 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
75,petp_nilre,10834876,B,0,0,0,0,0,7567.156,5505.814,25549.131,0,0,16290.909,9363.637,0.209,17605.938,0,0,0,9,67,157.023,6355.97,2.968,0.337,0.153,0,255
78,petp_nilre,10863306,B,0,0,0,0,0,7385.049,9961.575,119717.883,0,0,21272.727,18572.727,0.01,27020.086,0,0,0,24,1885,39.361,17480.086,3.234,0.309,0.036,0,255
74,petp_nilre,10834876,G,0,0,0,0,0,7567.156,5505.814,25549.131,0,0,16290.909,9363.637,0.209,17605.938,0,0,0,9,67,157.023,6355.97,2.968,0.337,0.153,0,255
77,petp_nilre,10863306,G,0,0,0,0,0,7385.049,9961.575,119717.883,0,0,21272.727,18572.727,0.01,27020.086,0,0,0,24,1885,39.361,17480.086,3.234,0.309,0.036,0,255
73,petp_nilre,10834876,R,209.655,38.319,254,62,254,7567.156,5505.814,25549.131,0,0,16290.909,9363.637,0.209,17605.938,2271584256,100,27486168,9,67,157.023,6355.97,2.968,0.337,0.153,0,255
76,petp_nilre,10863306,R,176.15,32.694,254,134,255,7385.049,9961.575,119717.883,0,0,21272.727,18572.727,0.01,27020.086,1913573760,100,23154244,24,1885,39.361,17480.086,3.234,0.309,0.036,0,255
