gh,MPs,Rhodb_Redcomponent_percentile50th,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_component_percentile_50th,Rhodb_filter_Green_ component_percentile_90th,Rhodb_filter_Blue_component_percentile_50th,Rhodb_filter_ Blue_ component_percentile_90th,nilrefilter_Redcomponent_percentile50th,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_component_percentile_50th,nilre_filter_Green_ component_percentile_90th,nilre_filter_Blue_component_percentile_50th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Red_ component_percentile_90th,DAPI_filter_Green_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_Blue_component_percentile_50th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_Red_component_percentile_50th,FITC_filter_ Red_ component_percentile_90th,FITC_filter_Green_component_percentile_50th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_Blue_component_percentile_50th,FITC_filter_ Blue_ component_percentile_90th
144,PE,5.0485,5.3273,4.1555,4.3831,0,0,83.721,89.633,0,0,0,0,0,0,0,0,0,0,0,0,118.713,211.1282,18.112,32.4656
145,PE100,0,0,0,0,0,0,63.261,66.9722,0,0,0,0,0,0,0,0,0,0,0,0,194.313,200.9706,29.9185,30.9485
146,PE102,30.0855,32.5011,23.148,25.264,0,0,31.7125,51.1057,0,0,0,0,0,0,0,0,0,0,0,0,152.779,166.715,23.5385,25.7165
148,PETp,0,0,0,0,0,0,230.99,248.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,PLA,89.139,100.5062,68.8785,77.6213,0,0,117.468,118.9616,0,0,0,0,0,0,24.552,26.0984,38.9775,41.4507,0,0,0,0,0,0
150,PP1,0,0,0,0,0,0,0,0,0,0,5.451,5.663,0,0,0,0,0,0,0,0,192.5035,225.4935,29.643,34.747
152,PS,0,0,0,0,0,0,253.623,253.9054,0,0,0,0,0,0,0,0,0,0,0,0,8.268,8.8016,0.9735,1.0563
154,PVC,29.505,29.505,23.008,20.008,0,0,9.6805,16.8617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,OM,0,0,0,0,0,0,11.0065,11.7877,0,0,0,0,1.882,3.3876,9.909,15.5466,15.304,24.4936,0,0,0,0,0,0
156,PA,161.0675,161.3615,124.222,124.454,0,0,93.693,95.4578,0,0,0,0,0,0,41.9375,42.6547,60.086,64.0484,0,0,0,0,0,0
158,PE,5.236,5.4864,4.291,4.4854,0,0,52.5405,66.8489,0,0,0,0,0,0,0,0,0,0,0,0,200.11,228.7436,30.8195,35.2303
159,PE100,0,0,0,0,0,0,68.7275,72.6823,0,0,0,0,0,0,0,0,0,0,0.2195,0.3951,196.7155,197.9735,30.301,30.4994
160,PE102,31.1395,36.0647,24.2555,28.0407,0,0,64.2885,65.6793,0,0,0,0,0,0,0,0,0,0,0.399,0.7182,162.1475,166.8631,24.997,25.7322
162,PETp,0,0,0,0,0,0,246.0005,252.1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,PLA,104.8685,106.2825,80.9775,82.0659,0,0,126.931,127.707,0,0,0,0,0,0,29.618,30.5084,47.082,48.4996,0,0,0,0,0,0
164,PP1,0,0,0,0,0,0,0,0,0,0,4.193,4.5218,0,0,0,0,0,0,0,0,135.512,139.6328,20.8025,21.4461
166,PS,0,0,0,0,0,0,251.585,252.4162,0,0,0,0,0,0,0,0,0,0,0,0,16.2715,26.2007,2.2195,3.7647
168,PVC,29.505,29.505,23.008,23.008,0,0,43.0625,66.7493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,OM,0,0,0,0,0,0,2.1405,2.1937,0,0,0,0,0,0,4.9335,6.6291,7.4055,10.3275,0,0,0,0,0,0
170,PA,115.851,127.4134,89.4235,98.3175,0,0,80.445,95.397,0,0,0,0,0,0,37.738,40.2196,66.1115,71.3807,0,0,0,0,0,0
172,PE,4.648,4.7552,3.8365,3.9177,0,0,41.6465,46.4645,0,0,0,0,0,0,0,0,0,0,0,0,178.056,189.3152,27.441,29.1634
173,PE100,0,0,0,0,0,0,45.7025,50.7813,0,0,0,0,0,0,0,0,0,0,0,0,178.348,185.684,27.464,28.6032
174,PE102,27.543,28.9142,21.3975,22.4579,0,0,59.0765,63.1449,0,0,0,0,0,0,0,0,0,0,0,0,158.4795,160.5543,24.432,24.756
176,PETp,0,0,0,0,0,0,215.109,225.4058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,PLA,156.239,162.7766,120.498,125.5292,0,0,31.8025,33.7061,0,0,0,0,0,0,36.76,39.56,58.514,62.9988,0,0,0,0,0,0
178,PP1,0,0,0,0,0,0,0,0,0,0,3.782,3.782,0,0,0,0,0,0,0,0,220.7975,224.6955,34.048,34.6504
180,PS,0,0,0,0,0,0,253.937,253.9682,0,0,0,0,0,0,0,0,0,0,0,0,20.857,31.9994,2.935,4.671
182,PVC,28.728,28.728,22.404,22.404,0,0,3.2035,3.2831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,OM,0,0,0,0,0,0,6.3,8.5752,0,0,0,0,0.147,0.1486,11.9615,12.3523,18.7835,19.4111,0,0,0,0,0,0
184,PA,156.029,160.2138,120.3295,123.5491,0,0,68.596,117.8376,0,0,0,0,0,0,41.509,44.805,65.089,71.2234,0,0,0,0,0,0
186,PE,4.8475,5.1999,3.998,4.2668,0,0,43.735,45.5982,0,0,0,0,0,0,0,0,0,0,0,0,190.145,194.2106,29.2785,29.9117
187,PE100,0,0,0,0,0,0,61.508,65.008,0,0,0,0,0,0,0,0,0,0,0.121,0.1258,186.9825,191.0173,28.7935,29.4235
188,PE102,25.1965,26.3209,19.52,20.5384,0,0,65.571,73.2566,0,0,0,0,0,0,0,0,0,0,0.133,0.1338,157.5155,166.5647,24.273,25.6834
190,PETp,0,0,0,0,0,0,171.8195,185.4127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,PLA,73.1845,100.5449,56.605,77.6506,0,0,140.2555,173.8783,0,0,0,0,0,0,29.112,30.8288,46.278,49.022,0,0,0,0,0,0
192,PP1,0,0,0,0,0,0,0,0,0,0,3.371,3.0422,0,0,0,0,0,0,0.867,1.5606,195.361,207.7362,30.1085,32.0169
194,PS,0,0,0,0,0,0,250.9585,253.3109,0,0,0,0,0,0,0,0,0,0,0,0,43.0635,44.0807,6.405,6.565
196,PVC,27.951,27.951,21.8,21.8,0,0,36.8375,39.7763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,OM,0,0,0,0,0,0,2.197,2.3034,0,0,0,0,0,0,18.1915,30.3919,28.53,48.2156,0,0,0,0,0,0
198,PA6,3.74,3.7816,3.1395,3.1711,0,0,4.233,4.5634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,PE,5.0085,5.1649,4.122,4.2476,0,0,34.5255,35.3435,0,0,0,0,0,0,0,0,0,0,0,0,169.393,174.9538,26.083,26.9534
201,PE100,0,0,0,0,0,0,60.5845,60.6873,0,0,0,0,0,0,0,0,0,0,0.187,0.3366,187.0155,187.8591,28.8065,28.9341
202,PE102,29.3135,32.7427,22.856,25.4912,0,0,58.8645,68.2633,0,0,0,0,0,0,0,0,0,0,0.232,0.4176,144.968,146.7504,22.317,22.5946
204,PETp,0,0,0,0,0,0,192.9025,206.3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,PLA,143.556,156.8288,110.741,120.9522,0,0,36.651,37.967,0,0,0,0,0,0,33.782,34.1556,53.7605,54.3593,0,0,0,0,0,0
206,PP1,0,0,0,0,0,0,0,0,0,0,2.96,2.3024,0,0,0,0,0,0,0,0,188.128,192.6152,29.0075,29.7015
208,PS,0,0,0,0,0,0,244.7735,248.9563,0,0,0,0,0,0,0,0,0,0,0.345,0.621,7.797,9.5042,0.9015,1.1675
210,PVC,27.174,27.174,21.196,21.196,0,0,19.68,20.6224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,PE,3.2875,3.9215,2.819,3.3014,0,0,21.0765,30.0817,0,0,0,0,0,0,0,0,0,0,0,0,165.5225,180.7813,25.4885,27.8529
218,PETp,0,0,0,0,0,0,185.8425,193.4797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,PP1,0,0,0,0,0,0,0,0,0,0,2.549,1.5626,0,0,0,0,0,0,0,0,140.669,156.5138,21.613,24.0786
222,PS,0,0,0,0,0,0,244.46025,249.40365,0,0,0,0,0,0,0,0,0,0,0,0,21.141,36.4506,2.9781365,5.3604273
228,PE,11.3495,17.0779,9.038,13.4476,0,0,29.6725,46.3953,0,0,0,0,0,0,0,0,0,0,0,0,177.5445,207.6393,27.3105,31.9853
232,PETp,0,0,0,0,0,0,231.1275,240.6207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,PP1,0,0,0,0,0,0,0,0,0,0,2.138,0.8228,0,0,0,0,0,0,0.6975,1.2555,130.9095,161.8067,20.082,24.9036
236,PS,0,0,0,0,0,0,242.11895,248.29995,0,0,0,0,0,0,0,0,0,0,0,0,23.8135,39.9027,3.3985,5.9085
242,PE,18.9625,19.8725,14.895,15.5902,0,0,26.465,43.7146,0,0,0,0,0,0,0,0,0,0,0,0,107.029,185.3586,16.339,28.5446
246,PETp,0,0,0,0,0,0,198.759,199.4638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,PS,0,0,0,0,0,0,239.77765,247.19625,0,0,0,0,0,0,0,0,0,0,0,0,6.31,7.1628,0.6625,0.7957
256,PE,0,0,0,0,0,0,42.1075,42.3911,0,0,0,0,0,0,0,0,0,0,0,0,186.521,188.929,28.7255,29.1027
264,PS,0,0,0,0,0,0,237.43635,246.09255,0,0,0,0,0,0,0,0,0,0,0.232,0.4176,2.888,4.4136,0.211,0.3798
270,PE,0,0,0,0,0,0,37.6365,43.5329,0,0,0,0,0,0,0,0,0,0,0,0,190.272,195.0264,29.327,30.063
278,PS,0,0,0,0,0,0,235.09505,244.98885,0,0,0,0,0,0,0,0,0,0,0.8805,1.5497,38.525,64.9114,5.702,9.8276
284,PE,0,0,0,0,0,0,26.335,45.7486,0,0,0,0,0,0,0,0,0,0,0,0,206.4815,207.5187,31.805,31.9594
292,PS,0,0,0,0,0,0,232.75375,243.88515,0,0,0,0,0,0,0,0,0,0,0,0,34.655,60.775,5.09100985,9.16380197
298,PE,0,0,0,0,0,0,19.3415,31.9275,0,0,0,0,0,0,0,0,0,0,0,0,209.117,221.0146,32.2375,34.0867
306,PS,0,0,0,0,0,0,230.41245,242.78145,0,0,0,0,0,0,0,0,0,0,0,0,36.1285,63.3289,5.3355,9.5911
320,PS,0,0,0,0,0,0,228.07115,241.67775,0,0,0,0,0,0,0,0,0,0,0,0,60.7365,72.8625,9.148,11.0304
