gh,MPs,Rhodb_Redcomponent_percentile50th,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_component_percentile_50th,Rhodb_filter_Green_ component_percentile_90th,Rhodb_filter_Blue_component_percentile_50th,Rhodb_filter_ Blue_ component_percentile_90th,nilrefilter_Redcomponent_percentile50th,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_component_percentile_50th,nilre_filter_Green_ component_percentile_90th,nilre_filter_Blue_component_percentile_50th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Red_ component_percentile_90th,DAPI_filter_Green_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_Blue_component_percentile_50th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_Red_component_percentile_50th,FITC_filter_ Red_ component_percentile_90th,FITC_filter_Green_component_percentile_50th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_Blue_component_percentile_50th,FITC_filter_ Blue_ component_percentile_90th
37,PLA,101.468,104.2216,78.357,80.4778,0,0,113.244,118.6296,0,0,0,0,0,0,26.423,27.2238,41.966,43.2452,0,0,0,0,0,0
38,PP1,0,0,0,0,0,0,6.1605,6.2001,0,0,0,0,0,0,0,0,0,0,0.4165,0.4857,186.028,203.3336,28.6625,31.3413
39,PP5,0,0,0,0,0,0,31.8925,32.0289,0,0,0,0,0,0,0,0,0,0,0.3245,0.5841,159.979,170.8222,24.617,26.2994
40,PS,0,0,0,0,0,0,247.454,252.45,0,0,0,0,0,0,0,0,0,0,0,0,22.8315,37.1687,3.2425,5.4749
41,PSf,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.0452,75.019,78.9302,119.714,125.9724,0,0,0,0,0,0
42,PVC,15.217,15.217,11.95,11.95,0,0,58.4255,74.3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,OM,0,0,0,0,0,0,3.862,4.3436,0,0,0,0,0,0,11.021,17.5818,17.1355,27.8343,0,0,0,0,0,0
44,PA,130.258,138.506,100.506,106.8508,0,0,112.389,113.2722,0,0,0,0,0,0,42.094,47.4596,67.0435,75.6303,0,0,0,0,0,0
45,PA6,4.0215,4.0803,3.2425,3.3077,0,0,3.2205,3.2353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,PE,14.2565,21.1105,11.2555,16.5455,0,0,36.0025,55.4477,0,0,0,0,0,0,0,0,0,0,0,0,202.383,206.763,31.177,31.8474
47,PE100,0,0,0,0,0,0,63.5825,66.4317,0,0,0,0,0,0,0,0,0,0,0.3035,0.5463,186.5885,198.5929,28.741,30.609
48,PE102,32.4415,33.8979,25.099,26.3654,0,0,52.9255,58.6931,0,0,0,0,0,0,0,0,0,0,0.2095,0.3771,178.983,191.6758,27.5905,29.5541
49,PETmono,4.0665,4.3565,3.2065,3.2853,0,0,0,0,0,0,0,0,0.279,0.2982,45.7845,46.9921,72.9525,74.8937,0,0,0,0,0,0
50,PETp,0,0,0,0,0,0,191.353,196.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,PLA,99.552,101.8496,76.886,78.654,0,0,114.661,119.5962,0,0,0,0,0,0,25.248,25.5944,40.0885,40.6441,0,0,0,0,0,0
52,PP1,0,0,0,0,0,0,0,0,6.403,7.359,0,0,0,0,0,0,0,0,0,0,169.569,192.9434,26.078,29.6948
53,PP5,0,0,0,0,0,0,30.831,30.831,0.631,0.631,0.762,0.762,0,0,0,0,0,0,0,0,191.8395,195.1903,29.548,30.0704
